原始文件,来源文件夹,原始地区,类型,年份,序号,目标地区/海域,总文章数,写出文章数,政治梗排除文章数,未命中海域文章数,命中关键词,输出文件,状态,原路径
press_js-2005-01.txt,js,js,press,2005,1,pr,1,1,0,0,"南丫岛, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2005-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2005-01.txt
press_js-2021-01.txt,js,js,press,2021,1,pr,2,1,0,1,"伶仃洋, 港珠澳, 港珠澳大桥, 珠江",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2021-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2021-01.txt
forum_js-2020-01.txt,js,js,forum,2020,1,pr,6,2,0,3,"台山, 大湾区, 广海, 港珠澳, 港珠澳大桥, 粤港澳, 粤港澳大湾区",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/forum_pr-2020-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2020-01.txt
forum_js-2020-01.txt,js,js,forum,2020,1,bb,6,1,0,3,"北部湾, 涠洲岛",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/forum_bb-2020-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2020-01.txt
forum_js-2016-01.txt,js,js,forum,2016,1,xm,20,1,0,11,"九龙江, 九龙江口, 厦门",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/forum_xm-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2016-01.txt
forum_js-2016-01.txt,js,js,forum,2016,1,pr,20,7,0,11,"伶仃洋, 大屿山, 屯门, 港珠澳, 港珠澳大桥, 澳门, 珠海, 粤港澳, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/forum_pr-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2016-01.txt
forum_js-2016-01.txt,js,js,forum,2016,1,bb,20,1,0,11,"三娘湾, 北海, 广西, 涠洲岛, 防城港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/forum_bb-2016-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2016-01.txt
website_js-2011-01.txt,js,js,website,2011,1,pr,25,14,2,5,"三跑, 沙洲, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江口中华白海豚国家级自然保护区, 粤港澳, 香港, 香港国际机场, 龙鼓洲",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2011-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2011-01.txt
website_js-2011-01.txt,js,js,website,2011,1,bb,25,4,2,5,"合浦, 合浦儒艮, 广西, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2011-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2011-01.txt
website_js-2011-01.txt,js,js,website,2011,1,lz,25,1,2,5,"徐闻, 雷州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2011-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2011-01.txt
